Date,Exercise,Exercise Calories,Exercise Minutes,Steps
12/9/18,"Walking, upstairs",59,5,2498
12/29/18,"Walking, 3.5 mph, uphill",52,6,2389
11/20/18,Kickboxing (including Turbo Jam),150,10,4737
11/26/18,"Calisthenics (pushups, sit-ups), vigorous effort",117,10,5810
11/27/18,"Calisthenics (pushups, sit-ups), vigorous effort",117.3,10,4577
11/27/18,"Running (jogging), 5 mph (12 min mile)",117,10,3411
11/28/18,"Running (jogging), 5 mph (12 min mile)",117.3,10,2877
12/18/18,"Running (jogging), 5 mph (12 min mile)",116,10,2318
12/18/18,"Walking, 3.5 mph, uphill",87,10,2316
12/24/18,"Walking, upstairs",116,10,3186
1/9/19,"Calisthenics (pushups, sit-ups), vigorous effort",114,10,3972
1/9/19,Elliptical,109,10,2858
1/11/19,"Calisthenics (pushups, sit-ups), vigorous effort",114.3,10,1145
1/14/19,"Walking, 3.5 mph, uphill",85,10,1886
1/18/19,"Calisthenics (pushups, sit-ups), vigorous effort",114,10,2040
1/30/19,"Running (jogging), 5.2 mph (11.5 min mile)",126,10,1447
12/10/18,"Calisthenics (pushups, sit-ups), vigorous effort",142,12,1475
12/10/18,"Walking, 3.5 mph, uphill",106,12,1636
12/12/18,"Walking, 3.5 mph, uphill",106.7,12,202
12/15/18,"Calisthenics (pushups, sit-ups), vigorous effort",142.2,12,1449
12/15/18,"Walking, 3.5 mph, uphill",106.7,12,1899
12/18/18,"Calisthenics (pushups, sit-ups), vigorous effort",139.3,12,1291
12/21/18,"Calisthenics (pushups, sit-ups), vigorous effort",139.3,12,474
12/26/18,"Walking, 3.5 mph, uphill",104,12,1521
1/3/19,"Running (jogging), 5 mph (12 min mile)",139,12,1865
1/3/19,"Walking, 3.5 mph, uphill",104,12,3562
1/5/19,"Running (jogging), 5 mph (12 min mile)",137.2,12,3642
1/5/19,"Walking, 3.5 mph, uphill",102.9,12,1704
1/11/19,"Running (jogging), 5 mph (12 min mile)",137.2,12,2214
1/11/19,"Walking, 3.5 mph, uphill",102,12,1851
1/12/19,"Running (jogging), 5.2 mph (11.5 min mile)",154,12,2145
1/18/19,"Running (jogging), 5.2 mph (11.5 min mile)",154.3,12,3021
12/29/18,"Running (jogging), 5 mph (12 min mile)",162,14,2757
1/16/19,"Calisthenics (pushups, sit-ups), vigorous effort",160,14,2954
11/20/18,"Running (jogging), 5 mph (12 min mile)",178,15,1629
11/25/18,"Calisthenics (pushups, sit-ups), vigorous effort",178,15,4109
11/28/18,"Calisthenics (pushups, sit-ups), vigorous effort",175,15,260
11/28/18,"Walking, 3.5 mph, uphill",131,15,2287
12/2/18,Elliptical,168,15,1328
12/17/18,Elliptical,170,15,4450
12/17/18,"Walking, 3.5 mph, uphill",133,15,2419
12/21/18,"Walking, 3.5 mph, uphill",130,15,1912
12/26/18,"Calisthenics (pushups, sit-ups), vigorous effort",174,15,7038
12/26/18,"Running (jogging), 5 mph (12 min mile)",174,15,1464
12/28/18,"Calisthenics (pushups, sit-ups), vigorous effort",174.2,15,1435
1/3/19,"Calisthenics (pushups, sit-ups), vigorous effort",174.2,15,1396
1/7/19,"Calisthenics (pushups, sit-ups), vigorous effort",171,15,1082
1/18/19,"Walking, 3.5 mph, uphill",128,15,2703
1/20/19,"Calisthenics (pushups, sit-ups), vigorous effort",171,15,473
1/20/19,"Walking, 3.5 mph, uphill",128.6,15,1518
1/22/19,"Calisthenics (pushups, sit-ups), vigorous effort",171.5,15,1657
11/26/18,Elliptical,179,16,2952
11/30/18,"Walking, 3.5 mph, uphill",149,17,942
12/10/18,"Running (jogging), 5 mph (12 min mile)",201,17,2126
2/1/19,"Calisthenics (pushups, sit-ups), vigorous effort",191,17,3506
2/2/19,"Calisthenics (pushups, sit-ups), vigorous effort",191.2,17,292
11/20/18,"Walking, 3.5 mph, uphill",178,20,1392
11/21/18,"Strength training (weight lifting, weight training)",89,20,3982
11/25/18,Elliptical,228,20,2114
11/27/18,"Walking, 3.5 mph, uphill",175,20,389
11/29/18,"Calisthenics (pushups, sit-ups), vigorous effort",234,20,2019
11/29/18,"Walking, 3.5 mph, uphill",175,20,126
12/2/18,"Calisthenics (pushups, sit-ups), vigorous effort",234.7,20,2631
12/4/18,"Calisthenics (pushups, sit-ups), vigorous effort",237.1,20,2427
12/8/18,"Calisthenics (pushups, sit-ups), vigorous effort",237.1,20,1235
12/8/18,"Walking, 3.5 mph, uphill",177,20,1771
12/9/18,Elliptical,226,20,2889
12/9/18,"Walking, 3.5 mph, uphill",177.8,20,9665
12/15/18,"Running (jogging), 5 mph (12 min mile)",237,20,10349
12/20/18,"Running (jogging), 5 mph (12 min mile)",232,20,1279
12/20/18,"Walking, 3.5 mph, uphill",174,20,1890
12/21/18,"Running (jogging), 5 mph (12 min mile)",232.2,20,1194
12/22/18,"Running (jogging), 5 mph (12 min mile)",232.2,20,1065
12/22/18,"Walking, 3.5 mph, uphill",174,20,1414
12/24/18,Elliptical,222,20,1110
12/24/18,"Walking, 3.5 mph, uphill",174.2,20,836
12/28/18,Elliptical,222.2,20,1751
12/28/18,"Running (jogging), 5 mph (12 min mile)",232,20,398
12/29/18,Elliptical,222.2,20,3749
12/29/18,Elliptical,222.2,20,825
1/5/19,"Calisthenics (pushups, sit-ups), vigorous effort",228,20,3068
1/7/19,Elliptical,218.7,20,513
1/9/19,"Walking, 3.5 mph, uphill",171,20,1088
1/12/19,Pilates,71,20,3415
1/12/19,"Walking, 3.5 mph, uphill",171,20,2631
1/20/19,"Running (jogging), 5.2 mph (11.5 min mile)",257,20,1296
1/30/19,"Walking, 3.5 mph, uphill",168,20,546
12/12/18,"Running (jogging), 5 mph (12 min mile)",260,22,4994
1/16/19,Elliptical,240,22,225
1/22/19,Elliptical,240.6,22,2498
2/1/19,Elliptical,236.8,22,2389
2/2/19,Elliptical,236.8,22,4737
12/4/18,"Walking, 3.5 mph, uphill",222,25,5810
11/19/18,"Calisthenics (pushups, sit-ups), vigorous effort",357,30,4577
11/21/18,"Calisthenics (pushups, sit-ups), vigorous effort",357.4,30,3411
11/25/18,"Walking, 3.5 mph, uphill",268,30,2877
11/29/18,Elliptical,336,30,2318
11/30/18,Elliptical,336.8,30,2316
11/19/18,Elliptical,399,35,3186
11/22/18,"Hiking, climbing hills (carrying <10 lb load)",475,45,3972
11/22/18,"Hiking, cross country",402,45,2858
11/23/18,Elliptical,513,45,1145
11/24/18,Painting fence,480,120,1886